eventnum,name,Film,award,date_of_award,years,days,age_at_award
71,Jack Nicholson,As Good as It Gets,best actor,23-Mar-98,60,335,60.9
72,Roberto Benigni,Life Is Beautiful,best actor,21-Mar-99,46,145,46.4
73,Kevin Spacey,American Beauty,best actor,26-Mar-00,40,244,40.7
74,Russell Crowe,Gladiator,best actor,25-Mar-01,36,352,37
75,Denzel Washington,Training Day,best actor,24-Mar-02,47,86,47.2
76,Adrien Brody,The Pianist,best actor,23-Mar-03,29,343,29.9
77,Sean Penn,Mystic River,best actor,29-Feb-04,43,196,43.5
78,Jamie Foxx,Ray,best actor,27-Feb-05,37,76,37.2
79,Philip Seymour Hoffman,Capote,best actor,5-Mar-06,38,225,38.6
80,Forest Whitaker,The Last King of Scotland,best actor,25-Feb-07,45,225,45.6
81,Daniel Day-Lewis,There Will Be Blood,best actor,24-Feb-08,50,301,50.8
82,Sean Penn,Milk,best actor,22-Feb-09,48,189,48.5
83,Jeff Bridges,Crazy Heart,best actor,7-Mar-10,60,93,60.3
84,Colin Firth,The King's Speech,best actor,27-Feb-11,50,170,50.5
85,Jean Dujardin,The Artist,best actor,26-Feb-12,39,252,39.7
86,Daniel Day-Lewis,Lincoln,best actor,24-Feb-13,55,301,55.8
87,Matthew McConaughey,Dallas Buyers Club,best actor,2-Mar-14,44,118,44.3
88,Eddie Redmayne,The Theory of Everything,best actor,22-Feb-15,33,47,33.1
89,Leonardo DiCaprio,The Revenant,best actor,28-Feb-16,41,109,41.3
90,Casey Affleck,Manchester by the Sea,best actor,26-Feb-17,41,198,41.5
91,Gary Oldman,Darkest Hour,best actor,4-Mar-18,59,348,60
92,Rami Malek,Bohemian Rhapsody,best actor,24-Feb-19,37,288,37.8
93,Joaquin Phoenix,Joker,best actor,9-Feb-20,45,104,45.3
94,Anthony Hopkins,The Father,best actor,25-Apr-21,83,115,83.3
1,Janet Gaynor,"7th Heaven, Street Angel, and Sunrise: A Song of Two Humans",best actress,16-May-29,22,222,22.61
2,Mary Pickford,Coquette,best actress,3-Apr-30,37,360,37.98
3,Norma Shearer,The Divorcee,best actress,5-Nov-30,28,87,28.24
4,Marie Dressler,Min and Bill,best actress,10-Nov-31,63,1,63
5,Helen Hayes,The Sin of Madelon Claudet,best actress,18-Nov-32,32,39,32.11
6,Katharine Hepburn,Morning Glory,best actress,16-Mar-34,26,308,26.84
7,Claudette Colbert,It Happened One Night,best actress,27-Feb-35,31,167,31.46
8,Bette Davis,Dangerous,best actress,5-Mar-36,27,335,27.92
9,Luise Rainer,The Great Ziegfeld,best actress,4-Mar-37,27,51,27.14
10,Luise Rainer,The Good Earth,best actress,10-Mar-38,28,57,28.16
11,Bette Davis,Jezebel,best actress,23-Feb-39,30,324,30.89
12,Vivien Leigh,Gone with the Wind,best actress,29-Feb-40,26,116,26.32
13,Ginger Rogers,Kitty Foyle,best actress,27-Feb-41,29,226,29.62
14,Joan Fontaine,Suspicion,best actress,26-Feb-42,24,127,24.35
15,Greer Garson,Mrs. Miniver,best actress,4-Mar-43,38,156,38.43
16,Jennifer Jones,The Song of Bernadette,best actress,2-Mar-44,25,0,25
17,Ingrid Bergman,Gaslight,best actress,15-Mar-45,29,198,29.54
18,Joan Crawford,Mildred Pierce,best actress,7-Mar-46,40,349,40.95
19,Olivia de Havilland,To Each His Own,best actress,13-Mar-47,30,255,30.7
