city,pop_year,population,lead_digit
Coburg,2023,1311,1
Pilot Rock,2023,1307,1
Terrebonne,2022,1298,1
Prineville Lake Acres,2022,1266,1
Lowell,2023,1256,1
Tangent,2023,1247,1
Riddle,2023,1224,1
Siletz,2023,1220,1
Lyons,2023,1207,1
Joseph,2023,1198,1
Drain,2023,1194,1
Athena,2023,1186,1
Williams,2022,1173,1
Yamhill,2023,1153,1
Port Orford,2023,1135,1
Island,2023,1121,1
Heppner,2023,1120,1
Aurora,2023,1118,1
South Lebanon,2022,1084,1
Dexter,2022,1068,1
Falls,2023,1066,1
Yoncalla,2023,1038,1
Mission,2022,1024,1
Metolius,2023,1022,1
Adair Village,2023,1018,1
Yachats,2023,1010,1
Donald,2023,1000,1
Foots Creek,2022,983,9
Bayside Gardens,2022,980,9
Scio,2023,961,9
Bayshore,2022,956,9
Halsey,2023,951,9
Oakland,2023,951,9
Knappa,2022,945,9
Glasgow,2022,920,9
Selma,2022,892,8
Glendale,2023,864,8
Prairie,2023,836,8
Merrill,2023,834,8
Running Y Ranch,2022,832,8
Wallowa,2023,828,8
Garibaldi,2023,823,8
Falcon Heights,2022,818,8
Svensen,2022,812,8
Maywood Park,2023,801,8
Melrose,2022,797,7
Chiloquin,2023,769,7
Lookingglass,2022,762,7
Malin,2023,741,7
Condon,2023,718,7
Tetherow,2022,716,7
Powers,2023,709,7
Weston,2023,700,7
Tumalo,2022,687,6
Lacomb,2022,685,6
Monroe,2023,673,6
Gaston,2023,667,6
Prospect,2022,661,6
Canyon town,2023,654,6
Trail,2022,644,6
Manzanita,2023,642,6
Arlington,2023,639,6
Takilma,2022,633,6
Dufur,2023,631,6
Echo,2023,622,6
Netarts,2022,622,6
O'Brien,2022,619,6
Cove,2023,618,6
Umapine,2022,596,5
Jasper,2022,574,5
Green Meadows,2022,560,5
Mount Vernon,2023,554,5
Neotsu,2022,547,5
Johnson,2023,543,5
Mehama,2022,534,5
Rivergrove,2023,533,5
San Marine,2022,528,5
Crawfordsville,2022,525,5
Seventh Mountain,2022,511,5
Huntington,2023,510,5
Pleasant Valley,2022,509,5
Orient,2022,508,5
Crabtree,2022,496,4
Labish Village,2022,496,4
North Powder,2023,496,4
Fairview,2022,495,4
Cherry Grove,2022,489,4
Wimer,2022,488,4
Pine Hollow,2022,481,4
Gates,2023,472,4
Oceanside,2022,472,4
Mosier,2023,463,4
Mapleton,2022,449,4
Fossil,2023,445,4
Butte Falls town,2023,437,4
Wasco,2023,437,4
Wheeler,2023,428,4
St. Paul,2023,424,4
Maupin,2023,418,4
Scotts Mills,2023,414,4
Bonanza town,2023,411,4
Elmira,2022,408,4
Marcola,2022,400,4
Tutuilla,2022,395,3
Oregon Shores,2022,388,3
Gopher Flats,2022,384,3
Adams,2023,383,3
Moro,2023,380,3
Haines,2023,379,3
Sodaville,2023,369,3
Westport,2022,367,3
Halfway,2023,366,3
Mount Hood,2022,360,3
Nesika Beach,2022,355,3
Riverside,2022,352,3
Annex,2022,333,3
Ione,2023,325,3
Trent,2022,325,3
Kerby,2022,321,3
Dillard,2022,316,3
Camp Sherman,2022,313,3
Brooks,2022,311,3
Gilchrist,2022,309,3
Rocky Point,2022,308,3
Neahkahnie,2022,302,3
Langlois,2022,300,3
Holley,2022,294,2
Marion,2022,294,2
Butteville,2022,285,2
Crescent,2022,278,2
Gardiner,2022,278,2
Rufus,2023,277,2
Nehalem,2023,273,2
Cheshire,2022,266,2
Westfir,2023,256,2
Paisley,2023,255,2
Silver Lake,2022,253,2
Lostine,2023,251,2
Alpine,2022,244,2
Dilley,2022,244,2
Imbler,2023,243,2
Kirkpatrick,2022,242,2
New Pine Creek,2022,242,2
Hebo,2022,241,2
Winchester Bay,2022,237,2
Ochoco West,2022,234,2
River Point,2022,234,2
Deer Island,2022,230,2
