student,method1,method2,method3
1,9,14.4,5
2,10,9.2,6.4
3,10,13.6,7.8
4,16,6.8,28.8
5,13,9,7.8
6,5.5,7.2,7.8
7,30,13.4,7.6
8,15,14.8,5.4
9,12,15.4,6.6
10,16,16.4,8
11,7,10.2,9
12,18,8.4,9.4
13,12,8.4,8.2
14,15,13.2,9.6
15,9.5,8.2,6.6
16,10,10,8.4
17,16,7.6,4.4
18,7,10.2,6.4
19,9,12,5.4
20,10,10,7.4
21,5,7.8,6.2
22,7,11.2,6.6
23,10,9.8,9.4
24,37,17,3
25,10,10.8,8.5
26,9,6.8,8.8
