rank,player_id,player,money,victories
212,39067,MJ Daffue,74076,
213,37278,Nicholas Lindheim,67855,
214,33597,Harry Higgs,64180,
215,27330,Josh Teater,62192,
216,06373,José María Olazábal,57200,
217,24980,Scott Gutschewski,53135,
218,47806,Raul Pereda,48617,
219,54813,Philip Knowles,47617,
220,33674,Adrian Meronk,45238,
221,34431,Robert Streb,45034,
222,06567,Vijay Singh,45000,
223,08793,Tiger Woods,44400,
224,37338,Zecheng Dou,43568,
225,20472,Alex Cejka,38525,
225,19825,Darren Clarke,38525,
227,24925,Jonathan Byrd,37287,
228,28259,Sangmoon Bae,34900,
229,27974,Sung Kang,33725,
230,35449,Adam Long,32063,
231,23983,Luke Donald,23538,
232,30750,Tommy Gainey,21480,
233,26758,David Hearn,19458,
234,29970,Dylan Frittelli,18924,
235,32816,Satoshi Kodaira,15980,
236,27141,J.B. Holmes,14563,
237,23541,Ben Crane,13662,
238,31557,Jim Herman,10253,
239,25632,Jimmy Walker,9848,
240,35901,Paul Haley II,9160,
241,30110,Kyle Stanley,8800,
242,49303,Anders Albertson,8760,
243,19803,Ryan Armour,8360,
243,31560,Brian Stuard,8360,
245,27963,Chris Stroud,8200,
