Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,RE24,NameASCII,PlayerId,MLBAMID
"Sam Selman","- - -",25,1,0,0,0,0,0,1,0,0,0,0,0,0,,-100,0,-0.26151939921953893,0.12093835324048996,-0.010735093135195928,-0.09799999743700027,"Sam Selman",13397,572125
"Ross Detwiler","- - -",53,3,0,0,0,0,0,0.666666666,0,1,0.333333333,0.333333333,0.333333333,0.29301844040552777,,80.94915212862132,-0.20736380689777434,-0.2801221512026955,0.3628150522708893,0.01837720036183857,-0.09800001978874207,"Ross Detwiler",2859,446321
"Nate Jones","- - -",20,1,0,0,0,0,0,0,0,0,0,0,0,0,,-100,0,-0.26320828192808843,0.12093835324048996,-0.010904446370946511,-0.0989999994635582,"Nate Jones",4696,518858
"Drew Hutchison","DET",9,1,0,0,0,0,0,0,0,0,0,0,0,0,0.064,-100,0,-0.26183716648199773,0.12093835324048996,-0.010691348486440804,-0.10400000214576721,"Drew Hutchison",10732,571800
"Clay Holmes","- - -",69,1,0,0,0,0,0,1,0,0,0,0,0,0,,-100,0,-0.2678523554740212,0.12093835324048996,-0.01137013228157015,-0.10400000214576721,"Clay Holmes",13649,605280
"Drew Smith","NYM",31,1,0,0,0,0,0,0,0,0,0,0,0,0,0.044,-100,0,-0.2605262070236466,0.12093835324048996,-0.010635500480688235,-0.10400000214576721,"Drew Smith",17755,622098
"Sam Hentges","CLE",30,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.25898208164551473,0.12093835324048996,-0.010405053971757727,-0.10400000214576721,"Sam Hentges",18548,656529
"J.C. Mejía","CLE",17,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.25898208164551473,0.12093835324048996,-0.010405053971757727,-0.10400000214576721,"J.C. Mejia",20617,650496
"Tony Watson","- - -",62,1,0,0,0,0,0,1,0,0,0,0,0,0,,-100,0,-0.26377597146609044,0.12093835324048996,-0.01088576275563979,-0.10700000077486038,"Tony Watson",3132,453265
"Jordan Zimmermann","MIL",2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26641571962216115,0.12093835324048996,-0.011226073177361105,-0.10899999737739563,"Jordan Zimmermann",4505,519455
"JD Hammer","PHI",20,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26678532802441335,0.12093835324048996,-0.011263135774168535,-0.10899999737739563,"JD Hammer",19548,670456
"Brian Miller","MIA",5,11,0,1,0,0,0,0.272727272,0,0.375,0.272727272,0.272727272,0.272727272,0.23974236033179544,0.23,46.32421061067979,-0.010883765120524913,-0.7625384509999324,0.663139633834362,0.027011614728406814,-0.1090000569820404,"Brian Miller",20047,675649
"Javy Guerra","WSN",6,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26661095463612294,0.12093835324048996,-0.011245650428746805,-0.10999999940395355,"Javy Guerra",7407,457915
"Otto Lopez","TOR",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26626971059420323,0,-0.02326295397932206,-0.10999999940395355,"Otto Lopez",19608,672640
"Cody Wilson","WSN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.011,-100,0,-0.26661095463612294,0,-0.02337278119036984,-0.10999999940395355,"Cody Wilson",24671,680963
"Patrick Murphy","- - -",25,1,0,0,0,0,0,1,0,0,0,0,0,0,,-100,0,-0.26661095463612294,0.12093835324048996,-0.011245650428746805,-0.11100000143051147,"Patrick Murphy",19712,641907
"Josh Fleming","TBR",26,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.2560427530942223,0.12093835324048996,-0.010110311892526563,-0.11100000143051147,"Josh Fleming",20418,676596
"Thomas Szapucki","NYM",1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.2605262070236466,0.12093835324048996,-0.010635500480688235,-0.11100000143051147,"Thomas Szapucki",21065,663378
"Shelby Miller","- - -",13,1,0,0,0,0,0,0,0,0,0,0,0,0,,-100,0,-0.2678523554740212,0.12093835324048996,-0.01137013228157015,-0.11800000071525574,"Shelby Miller",10197,571946
"José Ureña","DET",26,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26183716648199773,0.12093835324048996,-0.010691348486440804,-0.11800000071525574,"Jose Urena",11589,570632
"Archie Bradley","PHI",53,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26678532802441335,0.12093835324048996,-0.011263135774168535,-0.11800000071525574,"Archie Bradley",12918,605151
"José Ruiz","CHW",59,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,-100,0,-0.26268241994955754,0.12093835324048996,-0.010776106539226837,-0.11800000071525574,"Jose Ruiz",14552,614179
"Michael Lorenzen","CIN",27,1,0,1,0,0,0,1,0,0,0,0,0,0,0,-100,0.15058700740337372,-0.12183835797884679,0.016430821269750595,-0.007208058618580168,-0.11800000071525574,"Michael Lorenzen",14843,547179
"Matt Wisler","- - -",48,1,0,0,0,0,0,1,0,0,0,0,0,0,,-100,0,-0.26151939921953893,0.12093835324048996,-0.010735093135195928,-0.14000000059604645,"Matt Wisler",12804,605538
"Alex Reyes","STL",70,1,0,0,0,0,0,0,0,0,0,0,0,0,0.423,-100,0,-0.26325982504465795,0.12093835324048996,-0.010909614872896073,-0.14000000059604645,"Alex Reyes",15015,621052
"Breyvic Valera","TOR",39,97,1,10,15,1,0.082474226,0.12371134,0.103448276,0.28,0.252873563,0.3125,0.356321839,0.2934995833784342,0.284,80.8594202618965,-0.1182166466023773,-2.391370749522155,1.2250298112630844,0.2164651883950409,-0.14200036227703094,"Breyvic Valera",12758,591971
"Nathan Eovaldi","BOS",32,3,0,1,0,0,0.333333333,0.333333333,0,0,0,0.333333333,0,0.23057218392690024,0.254,36.224503320232174,-0.003422521287575364,-0.23767120593888513,0.3628150522708893,0.022860808600424845,-0.14800000190734863,"Nathan Eovaldi",9132,543135
"Heath Hembree","- - -",60,1,0,0,0,0,0,1,0,0,0,0,0,0,,-100,0,-0.2724253653822205,0.12093835324048996,-0.011828692263949371,-0.15000000596046448,"Heath Hembree",11632,592390
"Packy Naughton","LAA",7,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26377597146609044,0.12093835324048996,-0.01088576275563979,-0.15000000596046448,"Packy Naughton",23292,676050
"Jimmie Sherfy","- - -",14,1,0,0,0,0,0,0,0,0,0,0,0,0,,-100,0,-0.26320828192808843,0.12093835324048996,-0.010904446370946511,-0.15399998426437378,"Jimmie Sherfy",15118,642073
"Junior Fernández","STL",18,1,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,-0.26325982504465795,0.12093835324048996,-0.010909614872896073,-0.15399998426437378,"Junior Fernandez",18496,658551
