Name,Bats,MLB,Age,G,PA,AB,H,D,T,HR,R,RBI,K,BB,SB,CS,GDP,HBP,SH,SF,RC,Pos,AVG,OBP,SLG,OPS,WOBA,WAR
Rhys Hoskins,R,MIL,31,131,517,449,96,14,0,26,59,82,149,53,3,0,11,7,0,6,58.569,3,0.214,0.303,0.419,0.722,0.313,0.1383
Brandon Crawford,L,STL,37,28,80,71,12,5,0,1,5,4,26,8,0,0,0,1,0,0,5.864,65,0.169,0.263,0.282,0.545,0.248,0.1378
Kody Clemens,L,PHI,28,43,120,114,25,9,1,5,17,18,29,5,0,0,2,1,0,0,12.702,3547,0.219,0.258,0.447,0.705,0.301,0.1338
Oliver Dunn,L,MIL,26,41,104,95,21,2,2,1,11,7,40,6,3,0,1,2,1,0,9.197,5,0.221,0.282,0.316,0.598,0.266,0.1305
David Dahl,L,PHI,30,19,62,58,12,2,0,3,6,8,21,3,0,0,0,0,0,1,5.879,79,0.207,0.242,0.397,0.639,0.273,0.1297
Joey Loperfido,L,- - -,25,81,262,243,52,13,4,4,24,25,95,13,4,2,3,4,1,1,22.605,789,0.214,0.264,0.35,0.614,0.268,0.1199
Ehire Adrianza,B,LAA,34,8,28,26,5,1,0,1,4,2,11,2,0,0,1,0,0,0,2.04,54,0.192,0.25,0.346,0.596,0.262,0.1177
Luis Guillorme,L,- - -,29,77,187,161,33,9,1,0,14,10,36,23,4,2,7,0,1,2,13.477,456,0.205,0.301,0.273,0.574,0.263,0.1174
Joshua Palacios,L,PIT,28,23,78,67,15,2,0,2,10,9,12,10,1,0,1,1,0,0,8.455,978,0.224,0.333,0.343,0.676,0.307,0.1155
Thomas Saggese,R,STL,22,18,52,49,10,2,0,1,5,4,14,2,0,0,0,1,0,0,3.945,465,0.204,0.25,0.306,0.556,0.247,0.1137
Jonatan Clase,B,- - -,22,26,66,61,15,2,0,1,7,5,17,3,3,1,1,2,0,0,6.235,78,0.246,0.303,0.328,0.631,0.283,0.1056
Evan Carter,L,TEX,21,45,162,144,27,6,2,5,23,15,43,15,2,0,1,2,0,1,15.39,798,0.188,0.272,0.361,0.633,0.278,0.105
Lenyn Sosa,R,CHW,24,100,369,351,89,13,0,8,28,35,77,12,3,1,5,3,2,1,35.259,54,0.254,0.283,0.359,0.642,0.28,0.1032
Jason Delay,R,PIT,29,7,19,15,3,3,0,0,1,6,0,3,0,0,0,0,1,0,2.305,2,0.2,0.333,0.4,0.733,0.324,0.1021
Cal Stevenson,L,PHI,27,18,27,24,6,3,0,0,2,6,4,3,0,0,1,0,0,0,2.898,89,0.25,0.333,0.375,0.708,0.314,0.0996
Mickey Moniak,L,LAA,26,124,418,392,86,17,2,14,48,49,114,21,8,4,3,4,0,1,39.853,897,0.219,0.266,0.38,0.646,0.281,0.0939
Ezequiel Duran,R,TEX,25,92,285,268,66,11,0,3,26,20,63,14,1,2,6,2,0,1,23.68,573649,0.246,0.288,0.321,0.609,0.27,0.0923
Hunter Feduccia,L,LAD,27,5,14,12,4,0,0,0,2,1,2,2,0,0,1,0,0,0,1.614,2,0.333,0.429,0.333,0.762,0.35,0.0899
Connor Norby,R,- - -,24,45,194,178,42,9,0,9,32,20,64,15,3,3,2,0,0,1,22.51,54,0.236,0.294,0.438,0.732,0.316,0.0892
Greg Jones,B,COL,26,6,6,5,1,0,0,1,1,1,4,1,0,0,0,0,0,0,1.42,9,0.2,0.333,0.8,1.133,0.456,0.0854
Jace Jung,L,DET,23,34,94,79,19,5,0,0,14,3,29,15,0,1,3,0,0,0,8.904,5,0.241,0.362,0.304,0.666,0.308,0.0848
Livan Soto,L,- - -,24,13,16,13,3,1,0,0,1,0,3,3,0,0,0,0,0,0,1.792,4,0.231,0.375,0.308,0.683,0.318,0.0759
Estevan Florial,L,CLE,26,36,111,98,17,6,2,3,11,11,41,11,2,1,2,1,1,0,9.529,798,0.173,0.264,0.367,0.631,0.277,0.0747
Michael Helman,R,MIN,28,9,10,10,3,2,0,0,2,0,3,0,0,0,0,0,0,0,1.5,8,0.3,0.3,0.5,0.8,0.339,0.0741
Ke'Bryan Hayes,R,PIT,27,96,396,365,85,9,0,4,38,25,75,23,11,2,12,4,0,4,29.836,5,0.233,0.283,0.29,0.573,0.256,0.0727
